model,vol,p,o,q,dist,k_params,loglik,aic,bic,n_train,delta_aic
"EGARCH(2,1,1)-Normal",EGARCH,2,1,1,Normal,6,3636.8235250186594,-7261.647050037319,-7230.837704927923,1255,0.0
"EGARCH(1,1,1)-Normal",EGARCH,1,1,1,Normal,5,3635.7500210106136,-7261.500042021227,-7235.825587763398,1255,0.14700801609160408
"GJR(1,1,1)-Normal",GJR,1,1,1,Normal,5,3629.9741349032774,-7249.948269806555,-7224.273815548726,1255,11.698780230763987
"GJR(2,1,1)-Normal",GJR,2,1,1,Normal,6,3630.278867482012,-7248.557734964024,-7217.748389854629,1255,13.089315073294529
"GARCH(1,2)-StudentsT",GARCH,1,0,2,StudentsT,6,3628.974427675319,-7245.948855350638,-7215.1395102412425,1255,15.698194686680836
"EGARCH(1,0,1)-Normal",EGARCH,1,0,1,Normal,4,3622.098069120649,-7236.196138241298,-7215.656574835035,1255,25.45091179602059
"GARCH(1,1)-Normal",GARCH,1,0,1,Normal,4,3619.675953680267,-7231.351907360534,-7210.812343954271,1255,30.295142676784963
"GARCH(2,2)-Normal",GARCH,2,0,2,Normal,6,3620.9321043202385,-7229.864208640477,-7199.0548635310815,1255,31.78284139684183
"GARCH(2,1)-Normal",GARCH,2,0,1,Normal,5,3619.362803474888,-7228.725606949776,-7203.051152691947,1255,32.921443087542684
"GARCH(1,2)-Normal",GARCH,1,0,2,Normal,5,3615.713296244012,-7221.426592488024,-7195.752138230195,1255,40.22045754929513
"EGARCH(1,0,1)-StudentsT",EGARCH,1,0,1,StudentsT,5,3525.62180889885,-7041.2436177977,-7015.569163539871,1255,220.40343223961918
"GARCH(1,1)-skewt",GARCH,1,0,1,skewt,6,2922.742934480202,-5833.485868960404,-5802.676523851009,1255,1428.1611810769145
"GARCH(2,1)-StudentsT",GARCH,2,0,1,StudentsT,6,2704.8220452194755,-5397.644090438951,-5366.8347453295555,1255,1864.0029595983679
"GJR(1,1,1)-StudentsT",GJR,1,1,1,StudentsT,6,2357.5958009429496,-4703.191601885899,-4672.382256776504,1255,2558.4554481514197
"GJR(1,1,1)-skewt",GJR,1,1,1,skewt,7,2248.9648671451855,-4483.929734290371,-4447.98549832941,1255,2777.717315746948
"EGARCH(1,1,1)-StudentsT",EGARCH,1,1,1,StudentsT,6,1285.5664694481502,-2559.1329388963004,-2528.323593786905,1255,4702.5141111410185
"GARCH(1,1)-StudentsT",GARCH,1,0,1,StudentsT,5,1207.87555116177,-2405.75110232354,-2380.0766480657107,1255,4855.895947713779
"GARCH(2,1)-skewt",GARCH,2,0,1,skewt,7,-21.432147174323717,56.864294348647434,92.80853030960861,1255,7318.511344385966
"GARCH(2,2)-StudentsT",GARCH,2,0,2,StudentsT,7,-813.2980127219495,1640.596025443899,1676.54026140486,1255,8902.243075481218
"GARCH(1,2)-skewt",GARCH,1,0,2,skewt,7,-2160.0461689607673,4334.092337921535,4370.036573882496,1255,11595.739387958853
"EGARCH(1,0,1)-skewt",EGARCH,1,0,1,skewt,6,-3999.1132148457236,8010.226429691447,8041.035774800843,1255,15271.873479728765
"GARCH(2,2)-skewt",GARCH,2,0,2,skewt,8,-4666.409404165284,9348.818808330569,9389.897935143095,1255,16610.465858367887
"EGARCH(2,1,1)-skewt",EGARCH,2,1,1,skewt,8,-4682.375307468711,9380.750614937422,9421.829741749949,1255,16642.397664974742
"GJR(2,1,1)-StudentsT",GJR,2,1,1,StudentsT,7,-4789.96860371606,9593.93720743212,9629.881443393082,1255,16855.58425746944
"EGARCH(2,1,1)-StudentsT",EGARCH,2,1,1,StudentsT,7,-59168.44771884472,118350.89543768944,118386.83967365041,1255,125612.54248772677
"EGARCH(1,1,1)-skewt",EGARCH,1,1,1,skewt,7,-63257.126734288584,126528.25346857717,126564.19770453814,1255,133789.90051861448
"GJR(2,1,1)-skewt",GJR,2,1,1,skewt,8,-343965.62501155643,687947.2500231129,687988.3291499254,1255,695208.8970731501
