phi,loglik,cutoff
-0.99,-2990.048095703125,-519.9530810546875
-0.9217241379310345,-3228.070556640625,-519.9530810546875
-0.853448275862069,-3122.51318359375,-519.9530810546875
-0.7851724137931034,-3281.445556640625,-519.9530810546875
-0.7168965517241379,-3079.44287109375,-519.9530810546875
-0.6486206896551724,-3231.33935546875,-519.9530810546875
-0.5803448275862069,-3411.705810546875,-519.9530810546875
-0.5120689655172413,-3344.14794921875,-519.9530810546875
-0.4437931034482758,-3136.437255859375,-519.9530810546875
-0.3755172413793103,-3208.091552734375,-519.9530810546875
-0.3072413793103448,-3441.144287109375,-519.9530810546875
-0.23896551724137927,-3505.61181640625,-519.9530810546875
-0.17068965517241375,-3532.46923828125,-519.9530810546875
-0.10241379310344823,-3456.59228515625,-519.9530810546875
-0.034137931034482705,-3531.2490234375,-519.9530810546875
0.03413793103448293,-3153.2255859375,-519.9530810546875
0.10241379310344834,-3178.978515625,-519.9530810546875
0.17068965517241375,-3370.87060546875,-519.9530810546875
0.23896551724137938,-3446.4326171875,-519.9530810546875
0.307241379310345,-3177.1494140625,-519.9530810546875
0.3755172413793104,-3283.700927734375,-519.9530810546875
0.4437931034482758,-3241.077880859375,-519.9530810546875
0.5120689655172415,-3084.01611328125,-519.9530810546875
0.5803448275862071,-3113.28173828125,-519.9530810546875
0.6486206896551725,-3063.483154296875,-519.9530810546875
0.7168965517241379,-2937.380859375,-519.9530810546875
0.7851724137931035,-2702.447509765625,-519.9530810546875
0.8534482758620692,-2651.377197265625,-519.9530810546875
0.9217241379310346,-2295.7373046875,-519.9530810546875
0.99,-2062.48046875,-519.9530810546875
