iteration,loglik,run
0,,2
1,-3.4028234663852886e+38,2
2,-3.4028234663852886e+38,2
3,-3.4028234663852886e+38,2
4,-3.4028234663852886e+38,2
5,-3.4028234663852886e+38,2
6,-3.4028234663852886e+38,2
7,-3.4028234663852886e+38,2
8,-3.4028234663852886e+38,2
9,-3.4028234663852886e+38,2
10,-3.4028234663852886e+38,2
11,-3.4028234663852886e+38,2
12,-3.4028234663852886e+38,2
13,-3.4028234663852886e+38,2
14,-3.4028234663852886e+38,2
15,-3.4028234663852886e+38,2
16,-3.4028234663852886e+38,2
17,-3.4028234663852886e+38,2
18,-3.4028234663852886e+38,2
19,-3.4028234663852886e+38,2
20,-3.4028234663852886e+38,2
21,-3.4028234663852886e+38,2
22,-3.4028234663852886e+38,2
23,-3.4028234663852886e+38,2
24,-3.4028234663852886e+38,2
25,-3.4028234663852886e+38,2
26,-3.4028234663852886e+38,2
27,-3.4028234663852886e+38,2
28,-3.4028234663852886e+38,2
29,-3.4028234663852886e+38,2
30,-3.4028234663852886e+38,2
31,-3.4028234663852886e+38,2
32,-3.4028234663852886e+38,2
33,-3.4028234663852886e+38,2
34,-3.4028234663852886e+38,2
35,-3.4028234663852886e+38,2
36,-3.4028234663852886e+38,2
37,-3.4028234663852886e+38,2
38,-3.4028234663852886e+38,2
39,-3.4028234663852886e+38,2
40,-3.4028234663852886e+38,2
41,-3.4028234663852886e+38,2
42,-3.4028234663852886e+38,2
43,-3.4028234663852886e+38,2
44,-3.4028234663852886e+38,2
45,-3.4028234663852886e+38,2
46,-3.4028234663852886e+38,2
47,-3.4028234663852886e+38,2
48,-3.4028234663852886e+38,2
49,-3.4028234663852886e+38,2
50,-3.4028234663852886e+38,2
