start_id,best_if2_loglik,best_iter,beta0,delta_post,alpha,nu,k_proc,sigma_A,eta,I0,sigma_obs
5,-212.44978402199848,19,3.5948891847277435,-0.9246524342915806,0.8187453860538524,7744.580056920928,30.24466367918431,0.02763389654583909,0.8325000785431429,126.69078730420462,0.25120230924784054
9,-219.3018671960535,25,3.413761859761621,-0.9081871376614701,0.8350489505709267,8780.817630404088,60.41399037785739,0.07169053622730022,0.9921636923802991,12.139033826764377,0.24702565071067678
6,-221.01551329394692,16,1.46827401507983,-0.42665425182793165,0.9697175425165124,5809.69547028837,24.435136491174173,0.03360188464106804,0.4384684736999425,99.10408611345979,0.23079159885093312
8,-221.1236642036829,29,4.0966331596258145,-0.9893051697233554,0.8120854622397811,8814.996468253446,30.278590571749888,0.0035879546891561254,0.9824095546807166,267.6040658423831,0.2724593777776974
1,-223.63876296421992,9,3.806833892548248,-1.01461492337581,0.8024872041547141,6852.137299995636,191.85153962921765,0.029398511551749995,0.8172549686032843,156.30086769985687,0.28869910613670335
13,-242.9183521529938,25,5.214628367971378,-0.23676891108296327,0.7212078582897088,4696.417293541683,31.976142707747925,0.3636303645723225,0.7824064443308333,69.27608727179465,0.1919740249854868
11,-250.64203199179016,18,13.791906747274732,-1.3171108578799287,0.7154803300111372,7315.485421470111,24.985006895710708,0.4048192757952325,0.9745291033525837,60.75087790371937,0.21759364905830883
2,-262.51088084229764,10,17.530260243806286,-1.401588753111328,0.7629444954011323,3318.075957798427,20.014339443180756,0.536257795125668,0.2618453800534428,430.65304424109235,0.2361432274470159
7,-275.9243330534473,29,0.7559785993795265,-0.053273441905506994,1.0546165679746515,9741.121071389995,18.484214780482922,0.0794005118475447,0.38045658575683916,582.3708313408683,0.2376785891182589
14,-297.252676640198,3,2.6657856349417517,-0.7368514627238274,0.8787763676000138,5638.097454085772,33.59827976336947,0.0620136502405851,0.6999593027666173,1732.415310347077,0.2853287787726209
12,-302.5435686800905,5,2.351929036462779,-0.8006307876418991,0.9696133710730297,5379.8842194791,19.70673381250681,0.25919345905915164,0.15467583433522547,17.371404381480804,0.18752099956460486
3,-351.93806663022065,15,2.028956585188863,-0.657355352346232,0.9029967281569045,6681.93034299666,78.78645758778909,0.022514136502200306,0.4683159459469122,1235.2734738929298,0.23934967103759916
0,-362.86136622138406,5,5.220756002431116,-1.3232946817960636,0.9312882109792544,2609.7350072713307,62.76936932612577,0.06391007933638987,0.0870276812323278,248.9492542059608,0.32463051169720425
10,-364.59140179705736,2,5.744067950209656,-1.4280885537500505,0.7925034911808417,9473.032356936872,16.144187569384652,0.0192413289662081,0.07316922055891126,4074.004326047779,0.23253360806178058
4,-423.6285080201702,2,6.91123784863988,-1.476167242532117,0.8315036649088493,3052.3551473933585,20.828856168737996,0.03494930649379233,0.7245795696278395,671.9994559217216,0.2787779505792944
