"Year","Presidency"
"1857","D"
"1859","D"
"1861","R"
"1863","R"
"1865","R"
"1867","D"
"1869","R"
"1871","R"
"1873","R"
"1875","R"
"1877","R"
"1879","R"
"1881","R"
"1883","R"
"1885","D"
"1887","D"
"1889","R"
"1891","R"
"1893","D"
"1895","D"
"1897","R"
"1899","R"
"1901","R"
"1903","R"
"1905","R"
"1907","R"
"1909","R"
"1911","R"
"1913","D"
"1915","D"
"1917","D"
"1919","D"
"1921","R"
"1923","R"
"1925","R"
"1927","R"
"1929","R"
"1931","R"
"1933","D"
"1935","D"
"1937","D"
"1939","D"
"1941","D"
"1943","D"
"1945","D"
"1947","D"
"1949","D"
"1951","D"
"1953","R"
"1955","R"
"1957","R"
"1959","R"
"1961","D"
"1963","D"
"1965","D"
"1967","D"
"1969","R"
"1971","R"
"1973","R"
"1975","R"
"1977","D"
"1979","D"
"1981","R"
"1983","R"
"1985","R"
"1987","R"
"1989","R"
"1991","R"
"1993","D"
"1995","D"
"1997","D"
"1999","D"
"2001","R"
"2003","R"
"2005","R"
"2007","R"
"2009","D"
"2011","D"
"2013","D"
"2015","D"
"2017","R"
"2019","R"
"2021","D"
"2023","D"
"2025","R"
